#Produktgruppe;Lieferant;Artikelnummer;Bezeichnung;Barcode;Herkunftsland;VPE;VK-Preis;EK-Preis;Variabel
Kaffee;EP;at113120;"""Oromia"" Gourmetkaffee 250g, gem., kbA 250g";;Äthiopien;20;4,49;;
Kaffee;EP;at113123;"""Oromia"" Gourmetkaffee 250g, Bohne, kbA 250g";;Äthiopien;20;4,49;;
Kaffee;EP;at113002;„Oromia“, Sidamo, Bohne Großverbraucher 1000g;;Äthiopien;5;17,5;;
Kaffee;EP;at113003;„Oromia“, Sidamo, gemahle Großverbraucher 1000g;;Äthiopien;5;17,5;;
Kaffee;EP;at113130;"Geschenkset ""Oromia"" Gourmetkaffee 250g, gem. in Kaffeedose mit Aromaschutz 250g";;Äthiopien;12;7,2;;
Kaffee;dwp;ret113101;Café Sidamo, kbA, gemahlen 250g;;Äthiopien;20;4,8;;
Kaffee;dwp;ret113103;Café Sidamo, kbA, Bohnen 500g;;Äthiopien;10;9,6;;
Kaffee;EP;bo313120;"""Bolivia"" kbA 250 g, gemahlen 250g";;Bolivien;20;3,99;;
Kaffee;EP;bo313123;"""Bolivia"" kbA 250 g, Bohne 250g";;Bolivien;20;3,99;;
Kaffee;GEPA;4080901;Bio Café Yungas, Röstkaffee gemahlen 250g;;Bolivien;6;6,95;;
Kaffee;GEPA;4080902;Bio Café Yungas, Röstkaffee Bohnen 250g;;Bolivien;6;6,95;;
Kaffee;dwp;rbr113101;Café Brasilien gemahlen 250 g;;Brasilien;20;4,5;;
Kaffee;dwp;rbr113103;Café Brasilien Bohnen 500g;;Brasilien;10;8,9;;
Kaffee;EP;cu113150;"Café ""Cubita"" claro 500 g, der Milde, gem. 500g";;Cuba;10;7,9;;
Kaffee;EP;cu113151;"Café ""Cubita"" oscuro 500 g, der Kräftige, gem. 500g";;Cuba;10;7,9;;
Kaffee;ethiquable;1001;ECUADOR KAFFEE gemahlen (100% Arabica), 250g 250g;;Ecuador;12;4,69;;
Kaffee;EP;es113120;"""La Cortadora"" 250 g, gemahlen 250g";;El Salvador;20;3,99;;
Kaffee;EP;es113150;"""La Cortadora"" 500 g, gemahlen 500g";;El Salvador;10;7,9;;
Kaffee;EP;es113153;"""La Cortadora"" 500 g, Bohne 500g";;El Salvador;10;7,9;;
Kaffee;dwp;res213101;Café La Cortadora, gemahlen 250g;;El Salvador;20;4,25;;
Kaffee;dwp;res213103;Café La Cortadora, Bohne 500g;;El Salvador;10;8,4;;
Kaffee;EP;ha613120;"Café ""Creole"" 250 g, gemahlen 250g";;Haiti;20;;;
Kaffee;EP;ha613150;"Café ""Creole"" 500 g, gemahlen 500g";;Haiti;10;;;
Kaffee;EP;ha613153;"Café ""Creole"" 500 g, Bohne 500g";;Haiti;10;;;
Kaffee;EP;hn113120;Marcala Kaffee DO, 250g, gemahlen 250g;;Honduras;20;4,5;;
